timestamp,date,blood_pressure,label
1610638002.6100533,2021-01-14T15:26:42.610053Z,174,other
1610638002.6250534,2021-01-14T15:26:42.625053Z,174,other
1610638002.6400535,2021-01-14T15:26:42.640054Z,172,other
1610638002.6550536,2021-01-14T15:26:42.655054Z,169,other
1610638002.6700535,2021-01-14T15:26:42.670054Z,165,other
1610638002.6850538,2021-01-14T15:26:42.685054Z,159,other
1610638002.700054,2021-01-14T15:26:42.700054Z,153,other
1610638002.715054,2021-01-14T15:26:42.715054Z,147,other
1610638002.730054,2021-01-14T15:26:42.730054Z,141,other
1610638002.7450542,2021-01-14T15:26:42.745054Z,134,other
1610638002.7600543,2021-01-14T15:26:42.760054Z,128,other
1610638002.7750545,2021-01-14T15:26:42.775054Z,124,other
1610638002.7900546,2021-01-14T15:26:42.790055Z,118,other
1610638002.805055,2021-01-14T15:26:42.805055Z,113,other
1610638002.8200548,2021-01-14T15:26:42.820055Z,108,other
1610638002.8350549,2021-01-14T15:26:42.835055Z,103,other
1610638002.850055,2021-01-14T15:26:42.850055Z,98,other
1610638002.865055,2021-01-14T15:26:42.865055Z,94,other
1610638002.8800552,2021-01-14T15:26:42.880055Z,89,other
1610638002.8950553,2021-01-14T15:26:42.895055Z,85,other
1610638002.9100554,2021-01-14T15:26:42.910055Z,80,other
1610638002.9250555,2021-01-14T15:26:42.925056Z,76,other
1610638002.9400556,2021-01-14T15:26:42.940056Z,72,other
1610638002.9550557,2021-01-14T15:26:42.955056Z,69,other
1610638002.9700558,2021-01-14T15:26:42.970056Z,66,other
1610638002.985056,2021-01-14T15:26:42.985056Z,63,other
1610638003.000056,2021-01-14T15:26:43.000056Z,60,other
1610638003.015056,2021-01-14T15:26:43.015056Z,58,other
1610638003.0300562,2021-01-14T15:26:43.030056Z,56,other
1610638003.0450563,2021-01-14T15:26:43.045056Z,55,other
1610638003.0600564,2021-01-14T15:26:43.060056Z,54,other
1610638003.0750566,2021-01-14T15:26:43.075057Z,54,other
1610638003.090057,2021-01-14T15:26:43.090057Z,55,other
1610638003.1050568,2021-01-14T15:26:43.105057Z,58,other
1610638003.1200569,2021-01-14T15:26:43.120057Z,64,other
1610638003.135057,2021-01-14T15:26:43.135057Z,73,other
1610638003.150057,2021-01-14T15:26:43.150057Z,85,other
1610638003.1650572,2021-01-14T15:26:43.165057Z,99,other
1610638003.1800573,2021-01-14T15:26:43.180057Z,114,other
1610638003.1950574,2021-01-14T15:26:43.195057Z,128,other
1610638003.2100575,2021-01-14T15:26:43.210057Z,141,other
1610638003.2250576,2021-01-14T15:26:43.225058Z,153,other
1610638003.2400577,2021-01-14T15:26:43.240058Z,163,other
1610638003.2550578,2021-01-14T15:26:43.255058Z,170,other
